state,county,NAME,population,median_age,median_household_income,population_below_poverty,housing_units
48,287,"Lee County, Texas",17971,42.6,76371,1986,7981
48,289,"Leon County, Texas",16263,44.6,61449,2654,9067
48,291,"Liberty County, Texas",103380,32.9,68703,18229,36121
48,293,"Limestone County, Texas",22283,41.9,60573,3669,10443
48,295,"Lipscomb County, Texas",2918,36.3,72560,328,1432
48,297,"Live Oak County, Texas",11620,39.7,57150,1717,5996
48,299,"Llano County, Texas",22424,57.4,67530,2662,15788
48,301,"Loving County, Texas",33,86.2,51250,2,33
48,303,"Lubbock County, Texas",318884,31.9,64155,52494,139344
48,305,"Lynn County, Texas",5752,37.3,73679,867,2521
48,307,"McCulloch County, Texas",7514,44.5,54043,1129,4219
48,309,"McLennan County, Texas",266067,34.0,66643,42565,108454
48,311,"McMullen County, Texas",700,31.8,43875,86,348
48,313,"Madison County, Texas",13648,36.8,74596,1241,5107
48,315,"Marion County, Texas",9737,51.3,49672,1763,5623
48,317,"Martin County, Texas",5218,37.3,93734,428,2135
48,319,"Mason County, Texas",3955,52.7,74180,276,2430
48,321,"Matagorda County, Texas",36329,37.8,58628,7453,19058
48,323,"Maverick County, Texas",58082,30.3,49568,13119,20445
48,325,"Medina County, Texas",53547,39.8,78074,4918,19890
48,327,"Menard County, Texas",1955,59.5,53043,360,1383
48,329,"Midland County, Texas",174801,32.8,92874,19655,72723
48,331,"Milam County, Texas",25567,41.4,66141,3241,11641
48,333,"Mills County, Texas",4511,47.9,67620,311,2597
48,335,"Mitchell County, Texas",9018,36.7,60550,1052,3691
48,337,"Montague County, Texas",21046,44.2,64545,2947,10348
48,339,"Montgomery County, Texas",684432,37.2,97701,64224,266019
48,341,"Moore County, Texas",21373,31.2,61762,3867,8277
48,343,"Morris County, Texas",12076,42.1,58645,2303,5821
48,345,"Motley County, Texas",1183,52.3,61154,190,734
48,347,"Nacogdoches County, Texas",65162,31.9,53555,13099,29156
48,349,"Navarro County, Texas",54711,36.7,63111,9106,22191
48,351,"Newton County, Texas",12093,46.1,42618,2260,6492
48,353,"Nolan County, Texas",14454,39.3,50747,3165,7104
48,355,"Nueces County, Texas",352955,37.2,66897,60147,154408
48,357,"Ochiltree County, Texas",9786,33.3,70183,1151,4345
48,359,"Oldham County, Texas",2249,31.4,79900,363,776
48,361,"Orange County, Texas",85307,38.3,72104,10594,37937
48,363,"Palo Pinto County, Texas",29295,41.6,67674,4858,15206
48,365,"Panola County, Texas",22726,40.9,64894,2495,10853
48,367,"Parker County, Texas",165168,39.1,104443,13026,59879
48,369,"Parmer County, Texas",9731,36.3,69735,977,3745
48,371,"Pecos County, Texas",14896,36.9,72750,2741,5897
48,373,"Polk County, Texas",52800,44.0,62259,8538,26469
48,375,"Potter County, Texas",115975,35.1,53249,22778,49390
48,377,"Presidio County, Texas",5930,41.2,43802,1896,3273
48,379,"Rains County, Texas",12775,46.4,65413,1268,5925
48,381,"Randall County, Texas",146070,36.7,83864,13930,61677
48,383,"Reagan County, Texas",3232,30.0,57813,380,1336
48,385,"Real County, Texas",2802,59.5,39605,484,1951
48,387,"Red River County, Texas",11611,48.1,48491,1785,6194
48,389,"Reeves County, Texas",12664,34.4,64297,1957,5167
48,391,"Refugio County, Texas",6707,42.4,60181,958,3359
48,393,"Roberts County, Texas",832,40.0,67868,47,393
48,395,"Robertson County, Texas",17167,41.4,72236,2291,8612
48,397,"Rockwall County, Texas",123617,37.5,127981,4949,43580
48,399,"Runnels County, Texas",9874,42.1,62632,1060,4990
48,401,"Rusk County, Texas",52842,39.1,68658,6899,21311
48,403,"Sabine County, Texas",10023,54.2,66585,1088,7697
48,405,"San Augustine County, Texas",7874,50.5,50408,2070,4814
48,407,"San Jacinto County, Texas",28441,44.0,65364,5148,15011
48,409,"San Patricio County, Texas",70181,37.0,69704,10250,30435
48,411,"San Saba County, Texas",5696,40.7,55819,546,2835
48,413,"Schleicher County, Texas",2381,39.9,86694,234,1287
48,415,"Scurry County, Texas",16488,36.9,60039,1692,6881
48,417,"Shackelford County, Texas",3175,42.3,73047,299,1575
48,419,"Shelby County, Texas",24155,39.3,49776,4917,11584
48,421,"Sherman County, Texas",2295,39.7,61250,234,1135
48,423,"Smith County, Texas",241740,37.5,74192,27158,99673
48,425,"Somervell County, Texas",9691,44.5,79825,716,4017
48,427,"Starr County, Texas",66067,29.4,37639,21981,23139
48,429,"Stephens County, Texas",9351,42.0,58008,1293,4676
48,431,"Sterling County, Texas",1468,32.1,64954,62,524
48,433,"Stonewall County, Texas",1227,52.3,56875,176,791
48,435,"Sutton County, Texas",3277,42.3,78906,147,1766
48,437,"Swisher County, Texas",6937,36.4,36165,1901,3029
48,439,"Tarrant County, Texas",2167390,35.2,84207,237215,843257
48,441,"Taylor County, Texas",145863,33.1,67139,20529,62198
48,443,"Terrell County, Texas",835,59.9,44886,64,639
48,445,"Terry County, Texas",11629,37.0,44100,1991,4789
48,447,"Throckmorton County, Texas",1639,45.0,59216,397,991
48,449,"Titus County, Texas",31363,34.9,58425,5314,12146
48,451,"Tom Green County, Texas",119577,36.0,68370,12762,52318
48,453,"Travis County, Texas",1330015,35.6,99611,142566,618236
48,455,"Trinity County, Texas",14046,49.2,52018,2433,8326
48,457,"Tyler County, Texas",20238,43.2,55396,3229,9518
48,459,"Upshur County, Texas",42567,40.6,66208,5179,17519
48,461,"Upton County, Texas",3191,40.8,49167,494,1683
48,463,"Uvalde County, Texas",24881,34.5,53801,5324,10095
48,465,"Val Verde County, Texas",47741,32.3,66100,7625,18711
48,467,"Van Zandt County, Texas",62649,42.0,69475,6869,25903
48,469,"Victoria County, Texas",91413,36.7,70896,14569,39481
48,471,"Walker County, Texas",80209,37.6,52324,11582,30383
48,473,"Waller County, Texas",61552,31.3,80397,8324,20345
