state,county,NAME,total_population,median_age,male_population,female_population,white_population,black_population,american_indian_population,asian_population,native_hawaiian_population,other_race_population,two_or_more_races_population,hispanic_population
48,315,"Marion County, Texas",9737,51.3,4849,4888,6771,2133,40,16,0,6,303,468
48,317,"Martin County, Texas",5218,37.3,3042,2176,2355,146,0,5,0,85,139,2488
48,319,"Mason County, Texas",3955,52.7,2027,1928,3157,2,0,8,0,0,39,749
48,321,"Matagorda County, Texas",36329,37.8,17781,18548,15025,3511,21,594,16,314,959,15889
48,323,"Maverick County, Texas",58082,30.3,29073,29009,1657,103,853,270,44,0,106,55049
48,325,"Medina County, Texas",53547,39.8,27968,25579,22304,1540,66,420,52,300,1287,27578
48,327,"Menard County, Texas",1955,59.5,965,990,1375,8,0,0,0,0,69,503
48,329,"Midland County, Texas",174801,32.8,89020,85781,73917,11202,241,4179,45,769,4107,80341
48,331,"Milam County, Texas",25567,41.4,12796,12771,15749,2065,15,129,0,22,949,6638
48,333,"Mills County, Texas",4511,47.9,2320,2191,3298,30,1,30,0,22,183,947
48,335,"Mitchell County, Texas",9018,36.7,5727,3291,4216,740,25,87,0,19,431,3500
48,337,"Montague County, Texas",21046,44.2,10402,10644,17592,14,97,35,4,6,712,2586
48,339,"Montgomery County, Texas",684432,37.2,340255,344177,401443,41547,653,22808,477,2751,23747,191006
48,341,"Moore County, Texas",21373,31.2,11292,10081,6028,1029,61,449,0,7,751,13048
48,343,"Morris County, Texas",12076,42.1,5756,6320,7477,2696,45,129,0,66,308,1355
48,345,"Motley County, Texas",1183,52.3,619,564,931,63,1,0,0,0,69,119
48,347,"Nacogdoches County, Texas",65162,31.9,31438,33724,37202,10724,103,554,26,210,2242,14101
48,349,"Navarro County, Texas",54711,36.7,27034,27677,27636,4983,108,462,364,54,3536,17568
48,351,"Newton County, Texas",12093,46.1,6152,5941,8971,2097,14,86,21,5,460,439
48,353,"Nolan County, Texas",14454,39.3,7360,7094,7773,384,98,13,0,50,732,5404
48,355,"Nueces County, Texas",352955,37.2,175368,177587,103446,12470,461,8002,192,1125,6758,220501
48,357,"Ochiltree County, Texas",9786,33.3,4895,4891,3847,4,80,28,0,50,215,5562
48,359,"Oldham County, Texas",2249,31.4,1249,1000,1402,195,0,7,0,2,18,625
48,361,"Orange County, Texas",85307,38.3,42032,43275,65488,6462,116,953,88,361,3623,8216
48,363,"Palo Pinto County, Texas",29295,41.6,14373,14922,21389,677,38,207,0,93,857,6034
48,365,"Panola County, Texas",22726,40.9,11373,11353,16166,2543,6,121,3,106,1422,2359
48,367,"Parker County, Texas",165168,39.1,82748,82420,130712,2110,258,1404,57,365,6016,24246
48,369,"Parmer County, Texas",9731,36.3,5153,4578,2961,28,0,0,0,25,230,6487
48,371,"Pecos County, Texas",14896,36.9,8354,6542,3292,501,14,386,7,0,69,10627
48,373,"Polk County, Texas",52800,44.0,28403,24397,37440,4079,494,295,2,30,2360,8100
48,375,"Potter County, Texas",115975,35.1,59568,56407,48959,11867,222,5479,100,253,3568,45527
48,377,"Presidio County, Texas",5930,41.2,3188,2742,1081,0,18,1,0,0,115,4715
48,379,"Rains County, Texas",12775,46.4,6506,6269,10453,319,59,128,0,35,470,1311
48,381,"Randall County, Texas",146070,36.7,71988,74082,97071,4589,252,2486,99,795,4892,35886
48,383,"Reagan County, Texas",3232,30.0,1669,1563,715,176,0,46,0,0,75,2220
48,385,"Real County, Texas",2802,59.5,1444,1358,2215,21,0,0,0,0,36,530
48,387,"Red River County, Texas",11611,48.1,5818,5793,8456,1892,112,39,5,24,214,869
48,389,"Reeves County, Texas",12664,34.4,7256,5408,1465,212,15,23,0,117,34,10798
48,391,"Refugio County, Texas",6707,42.4,3292,3415,2724,415,8,0,0,29,149,3382
48,393,"Roberts County, Texas",832,40.0,411,421,741,3,0,0,0,0,33,55
48,395,"Robertson County, Texas",17167,41.4,8478,8689,9411,2946,21,106,0,8,870,3805
48,397,"Rockwall County, Texas",123617,37.5,61556,62061,77844,11233,156,4301,81,557,3722,25723
48,399,"Runnels County, Texas",9874,42.1,5011,4863,5925,290,1,11,0,0,205,3442
48,401,"Rusk County, Texas",52842,39.1,27957,24885,32458,6964,68,191,48,15,3010,10088
48,403,"Sabine County, Texas",10023,54.2,5020,5003,8472,685,4,71,48,74,504,165
48,405,"San Augustine County, Texas",7874,50.5,3781,4093,5363,1687,30,0,0,0,137,657
48,407,"San Jacinto County, Texas",28441,44.0,14343,14098,19576,2469,18,78,0,13,835,5452
48,409,"San Patricio County, Texas",70181,37.0,35636,34545,26568,1037,54,747,127,494,1531,39623
48,411,"San Saba County, Texas",5696,40.7,2994,2702,3567,141,9,14,9,0,210,1746
48,413,"Schleicher County, Texas",2381,39.9,1114,1267,996,13,0,0,11,0,95,1266
48,415,"Scurry County, Texas",16488,36.9,8575,7913,8076,537,110,137,0,130,353,7145
48,417,"Shackelford County, Texas",3175,42.3,1553,1622,2577,27,3,1,0,8,148,411
48,419,"Shelby County, Texas",24155,39.3,11950,12205,14428,3649,164,9,177,30,896,4802
48,421,"Sherman County, Texas",2295,39.7,1236,1059,1196,3,0,12,0,0,14,1070
48,423,"Smith County, Texas",241740,37.5,117074,124666,138917,39300,231,4208,98,673,7722,50591
48,425,"Somervell County, Texas",9691,44.5,4877,4814,7450,126,17,0,0,48,291,1759
48,427,"Starr County, Texas",66067,29.4,32263,33804,1510,232,10,38,0,0,59,64218
48,429,"Stephens County, Texas",9351,42.0,5170,4181,6380,282,0,98,0,25,217,2349
48,431,"Sterling County, Texas",1468,32.1,711,757,922,2,4,2,0,0,14,524
48,433,"Stonewall County, Texas",1227,52.3,615,612,960,5,0,0,0,0,17,245
48,435,"Sutton County, Texas",3277,42.3,1516,1761,1044,4,11,0,0,83,58,2077
48,437,"Swisher County, Texas",6937,36.4,3940,2997,2880,536,41,3,0,73,192,3212
48,439,"Tarrant County, Texas",2167390,35.2,1064636,1102754,910924,374999,2885,131143,3710,10014,77968,655747
48,441,"Taylor County, Texas",145863,33.1,71845,74018,88918,11193,169,3153,116,895,4778,36641
48,443,"Terrell County, Texas",835,59.9,441,394,424,0,0,0,0,0,76,335
48,445,"Terry County, Texas",11629,37.0,6358,5271,4383,334,52,20,0,0,221,6619
48,447,"Throckmorton County, Texas",1639,45.0,726,913,1383,0,0,10,0,0,78,168
48,449,"Titus County, Texas",31363,34.9,15604,15759,13290,3206,83,0,0,52,629,14103
48,451,"Tom Green County, Texas",119577,36.0,59775,59802,61456,4247,120,1598,66,582,2978,48530
48,453,"Travis County, Texas",1330015,35.6,679147,650868,623738,104335,1367,104225,596,6569,56128,433057
48,455,"Trinity County, Texas",14046,49.2,6866,7180,10801,1105,7,26,0,6,532,1569
48,457,"Tyler County, Texas",20238,43.2,11098,9140,15458,2157,17,87,0,49,774,1696
48,459,"Upshur County, Texas",42567,40.6,21133,21434,32848,3052,27,251,15,65,1875,4434
48,461,"Upton County, Texas",3191,40.8,1551,1640,1358,38,5,14,0,0,29,1747
48,463,"Uvalde County, Texas",24881,34.5,12406,12475,6360,80,72,267,0,90,377,17635
48,465,"Val Verde County, Texas",47741,32.3,24662,23079,7338,572,38,286,8,92,646,38761
48,467,"Van Zandt County, Texas",62649,42.0,30643,32006,50270,1456,214,301,8,188,1805,8407
48,469,"Victoria County, Texas",91413,36.7,45003,46410,38746,5026,100,1114,67,394,1971,43995
48,471,"Walker County, Texas",80209,37.6,47355,32854,42497,15730,133,832,263,248,3014,17492
48,473,"Waller County, Texas",61552,31.3,30668,30884,23476,14373,39,1239,17,149,1630,20629
48,475,"Ward County, Texas",11144,34.5,5733,5411,4053,562,31,92,0,0,143,6263
48,477,"Washington County, Texas",36647,40.9,18177,18470,22514,5191,110,529,0,98,1433,6772
48,479,"Webb County, Texas",269294,30.0,133726,135568,9632,1177,114,1339,3,614,585,255830
48,481,"Wharton County, Texas",41794,38.1,20854,20940,18096,4563,90,209,0,55,1221,17560
48,483,"Wheeler County, Texas",4862,41.3,2501,2361,3331,69,19,50,0,11,149,1233
48,485,"Wichita County, Texas",129996,35.3,67347,62649,81302,13241,417,2944,149,262,4833,26848
48,487,"Wilbarger County, Texas",12616,40.5,6187,6429,6875,731,12,389,0,36,757,3816
48,489,"Willacy County, Texas",20139,34.3,10932,9207,1966,307,0,32,0,0,257,17577
48,491,"Williamson County, Texas",672688,37.3,335267,337421,358479,45037,629,66854,787,4286,30162,166454
48,493,"Wilson County, Texas",52781,40.7,26584,26197,28906,1041,73,336,10,391,947,21077
48,495,"Winkler County, Texas",7454,35.1,3931,3523,2353,294,0,41,4,61,44,4657
48,497,"Wise County, Texas",75005,39.5,37887,37118,54653,1219,220,527,13,189,2332,15852
48,499,"Wood County, Texas",46961,48.5,23522,23439,37833,1761,9,256,5,200,1464,5433
48,501,"Yoakum County, Texas",7571,32.3,4019,3552,2348,11,0,71,0,0,175,4966
48,503,"Young County, Texas",18029,41.6,9403,8626,13542,104,41,181,0,26,443,3692
48,505,"Zapata County, Texas",13841,32.3,6853,6988,662,20,0,84,0,0,76,12999
48,507,"Zavala County, Texas",9412,30.8,4947,4465,569,79,0,47,0,0,0,8717
