state,county,NAME,population_16_plus,labor_force,employed,unemployed
48,481,"Wharton County, Texas",32750,19948,18978,970
48,483,"Wheeler County, Texas",3838,2352,2240,112
48,485,"Wichita County, Texas",103740,59817,57609,2208
48,487,"Wilbarger County, Texas",10454,6168,5595,573
48,489,"Willacy County, Texas",15930,8823,8159,664
48,491,"Williamson County, Texas",528978,372776,358316,14460
48,493,"Wilson County, Texas",41612,24930,24040,890
48,495,"Winkler County, Texas",5571,3643,3512,131
48,497,"Wise County, Texas",58867,37789,35783,2006
48,499,"Wood County, Texas",39327,18648,17480,1168
48,501,"Yoakum County, Texas",5252,3162,2945,217
48,503,"Young County, Texas",14462,9127,8804,323
48,505,"Zapata County, Texas",10030,5293,4904,389
48,507,"Zavala County, Texas",7072,3880,3726,154
