state,county,NAME,population_25_plus,bachelors,masters,professional,doctorate
48,437,"Swisher County, Texas",4648,561,126,22,10
48,439,"Tarrant County, Texas",1412762,318633,132093,24099,16413
48,441,"Taylor County, Texas",89663,16742,7211,1377,921
48,443,"Terrell County, Texas",670,129,51,0,0
48,445,"Terry County, Texas",7428,531,193,7,0
48,447,"Throckmorton County, Texas",1173,181,53,0,29
48,449,"Titus County, Texas",19569,2295,787,81,28
48,451,"Tom Green County, Texas",78620,13262,4958,966,836
48,453,"Travis County, Texas",941975,329250,147480,31748,24312
48,455,"Trinity County, Texas",10292,1303,316,82,27
48,457,"Tyler County, Texas",14869,1313,394,98,40
48,459,"Upshur County, Texas",29223,3823,1281,194,24
48,461,"Upton County, Texas",2217,137,51,5,0
48,463,"Uvalde County, Texas",15561,2121,682,163,113
48,465,"Val Verde County, Texas",29064,3741,2234,392,182
48,467,"Van Zandt County, Texas",43691,5543,2657,260,169
48,469,"Victoria County, Texas",60159,8423,2395,766,385
48,471,"Walker County, Texas",53973,7856,2923,225,638
48,473,"Waller County, Texas",35538,7255,2116,373,172
48,475,"Ward County, Texas",7237,637,196,62,3
48,477,"Washington County, Texas",24835,5260,1639,477,257
48,479,"Webb County, Texas",154265,23302,7324,1579,774
48,481,"Wharton County, Texas",27334,4280,1102,206,79
48,483,"Wheeler County, Texas",3402,476,61,19,23
48,485,"Wichita County, Texas",84302,14024,5225,1013,872
48,487,"Wilbarger County, Texas",8754,1076,293,61,80
48,489,"Willacy County, Texas",13061,1426,366,14,29
48,491,"Williamson County, Texas",458124,140185,64158,9182,8334
48,493,"Wilson County, Texas",36318,6525,2506,238,133
48,495,"Winkler County, Texas",4668,432,64,0,0
48,497,"Wise County, Texas",50855,7858,2649,357,401
48,499,"Wood County, Texas",34578,4697,1943,554,254
48,501,"Yoakum County, Texas",4345,621,95,123,34
48,503,"Young County, Texas",12548,2093,715,79,123
48,505,"Zapata County, Texas",8090,818,310,38,62
48,507,"Zavala County, Texas",5790,588,34,15,5
